time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-11-28T20:37:24.300Z,40.239,50.03,33,4.7,mb,29,,,1.11,us,usp000a54q,2014-11-07T01:11:34.746Z,"Caspian Sea, offshore Azerbaijan",earthquake,,,,2,reviewed,us,us
2000-11-28T13:22:44.120Z,49.46,155.744,60.4,4,mb,22,,,1.13,us,usp000a53z,2014-11-07T01:11:34.682Z,"Kuril Islands",earthquake,,11.5,,3,reviewed,us,us
2000-11-28T01:04:29.380Z,34.792,135.927,366,4.4,mb,73,,,0.89,us,usp000a532,2014-11-07T01:11:34.606Z,"near the south coast of western Honshu, Japan",earthquake,,4.1,,27,reviewed,us,us
2000-11-27T12:53:45.630Z,35.588,140.696,67.5,4.6,mb,18,,,0.72,us,usp000a52e,2014-11-07T01:11:34.565Z,"near the east coast of Honshu, Japan",earthquake,,12.7,,4,reviewed,us,us
2000-11-27T00:10:30.380Z,36.702,71.511,191.3,4.1,mb,60,,,0.89,us,usp000a51g,2014-11-07T01:11:34.483Z,"Hindu Kush region, Afghanistan",earthquake,,,,21,reviewed,us,us
2000-11-26T21:38:25.570Z,42.055,142.497,84.4,4.2,mb,13,,,1.28,us,usp000a517,2014-11-07T01:11:34.462Z,"Hokkaido, Japan region",earthquake,,14.5,,2,reviewed,us,us
2000-11-26T21:37:11.180Z,40.123,50.186,54.4,4.5,mb,54,,,1.05,us,usp000a516,2014-11-07T01:11:34.457Z,"Caspian Sea, offshore Azerbaijan",earthquake,,5.4,,13,reviewed,us,us
2000-11-26T21:11:33.640Z,37.008,23.137,10,4.3,mb,54,,,1.45,us,usp000a515,2014-11-07T01:11:34.450Z,"southern Greece",earthquake,,,,7,reviewed,us,us
2000-11-26T18:43:40.360Z,53.549,169.686,20.9,4.1,mb,23,,,0.9,us,usp000a50y,2014-11-07T01:11:34.434Z,"Komandorskiye Ostrova, Russia region",earthquake,,7.8,,5,reviewed,us,us
2000-11-26T17:20:35.420Z,37.935,29.033,10,4,mb,41,,,1.17,us,usp000a50u,2014-11-07T01:11:34.423Z,"western Turkey",earthquake,,,,11,reviewed,us,us
2000-11-26T17:08:33.250Z,37.925,29.053,10,4,mb,37,,,1.17,us,usp000a50t,2014-11-07T01:11:34.420Z,"western Turkey",earthquake,,,,11,reviewed,us,us
2000-11-26T14:16:52.260Z,40.027,50.116,33,4.3,mb,43,,,1.08,us,usp000a50j,2014-11-07T01:11:34.398Z,"Caspian Sea, offshore Azerbaijan",earthquake,,,,7,reviewed,us,us
